127.0.0.1 - - [11/Jun/2021:18:59:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/css/fontawesome-all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/js/jquery-2.2.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/js/fixed-nav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/js/move-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/js/responsiveslides.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/js/medic.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/js/bootstrap.js HTTP/1.1" 304 -
